index,reason,orig_reason,Similarity Score
4001,"The mention of taking multiple drugs and smoking at a young age indicates a potential medication-related stress. Using substances at a young age can have serious psychological and physical consequences, leading to concerns about mental health and well-being.", take a lot of different drugs and im smoking,0.48707419633865356
4002,"The person is describing a multitude of symptoms such as feeling lost, failing at tasks, turning away from loved ones, experiencing negative thoughts, and having suicidal ideations. These are common indicators of deep-seated depression and mental health struggles that require professional intervention and medication. The mention of being on medication and seeking professional help suggests that the individual is in a medication-related stressed mental state.","got divorced, turning away from people i adore and not being fair to them ",0.0918164849281311
4003,"The mention of suicide and overdose indicates a medication related stress. The person seems to be feeling low, pathetic, and like nobody cares, which could be leading to thoughts of self-harm. It is important for them to seek professional help and support as soon as possible.",nobody cares,0.11614382266998291
4004,"The premise indicates relationship related stress as it involves the struggle with a toxic key member of the family, feeling left out, and comparing personal progress with that of others, leading to mental health deterioration.",toxic key memeber of family,0.40514257550239563
4005,"The person's mental state is related to medication, as indicated by their concern and uncertainty about having access to their medication. The fact that the person's mom took away their medications and they now feel unsure about having them back suggests a level of stress and doubt related to their medication situation.",mom took all my meds away,0.5953700542449951
4006,"The mention of suicidal thoughts, desire for a quick way out, seeking medical advice on overdose of medication, and desperation indicated a potential medication related stress. The use of terms like 'quick way to kill myself', 'otc pills', and specific dosage inquiries suggest a mindset revolving around medication as a solution to the perceived problems.",i'm coward,0.12429027259349823
4007,"The mention of being sick, having trouble getting out of bed, struggling to read, feeling like wishing for death, and being exhausted are indicative of a state of mental distress related to potential medication issues.","i'm sick, always tired",0.4483800530433655
4008,"The person in the premise is experiencing relationship-related stress. This is evident from the negative interactions with their coworker at the shelter, who is being mean to both them and the people at the shelter. The conflict with the coworker has led to a situation where the person feels unfairly treated and is now questioning their job, their future, and their self-worth. This stress is further compounded by the responsibilities of taking care of their family and feeling overwhelmed by the situation. The feelings of being attacked, misunderstood, and struggling to make ends meet indicate a relationship-related stress.","cowokrer's that act like high school kids talking shit about other other coworkers, we have this coworker, shes's real mean to the people, coworker gets mad, shes lies and says i threaten herm probably wont have a job",0.3885685205459595
4009,"The person mentions being in a serious depressive episode, feeling like a failure, contemplating self-harm, and planning a suicide. These thoughts and behaviors indicate a medication-related stress, possibly due to the person's mental health condition and challenges with rational thinking, which they attribute to their autism.","graduate from this shitty community college,  i thought i actually did well on my midterms but I just barely scraped by,  terrible my tests were",0.12851709127426147
4010,"The person is expressing extreme self-hatred, low self-esteem, and feelings of worthlessness, which are indicative of alienation-related stress. They feel disconnected from their own body and sense that they don't belong or fit in. The intense focus on physical appearance and comparing themselves unfavorably with others shows a profound sense of alienation from themselves and potentially from societal standards of beauty. The desire to end their life suggests a deep sense of despair and isolation.","always been an ugly kid and hated the way i looked, i envied my childhood friends because they were prettier than me,  i hate everything about my face and my body,  i hate the way my skin looks,  i hate everything about myself",0.3713732957839966
4011,"The person exhibits feelings of emptiness, burden, lack of motivation towards learning new skills, and lack of interest in self-improvement activities. They express a strong sense of alienation and disconnection from the idea of working hard and developing themselves. This alienation and lack of hope are evident in their words, indicating a deeper emotional struggle with finding meaning or joy in any form of effort or growth.","can't go back to school, because, need skills, feel empty, burdened, studing, work, job",0.4763827919960022
4012,"The person is experiencing alienation-related stress as they feel like their issues are trivial compared to others, and they feel unworthy of help because they perceive that others have more severe problems or lack access to therapy.",don't feel so worthy,0.15643920004367828
4013,"The person is exhibiting feelings of alienation and isolation from their friends and family, as indicated by the statement 'All my friends and family are so confused by my increasingly poor life decisions lately'. The person expresses a sense of disconnection and detachment from their loved ones and society in general. This sense of alienation is further emphasized by the reluctance to share their struggles with anyone, feeling lost, and not wanting to use the word 'depression' to describe themselves. The person's contemplation of suicide and the feeling of justification for the mess in their life also point towards deep emotional alienation and disconnection.","poor life decisions, feels impossible to prioritize even the most important task",0.34990453720092773
4014,"The language used in the premise indicates feelings of alienation and self-deprecation, suggesting a sense of disconnect or isolation from others and a lack of self-worth.","i can't do anything right, I'm a dumbass, i just keep messing everything up, can't even do basic stuff, i'm pathetic",0.06590478867292404
4015,"The person is experiencing relationship-related stress, specifically stemming from a long-distance relationship that ended. The individual is struggling with feelings of rejection, inadequacy, jealousy, and regret related to their past relationship with their ex-girlfriend. This has led to a cycle of negative thoughts, panic attacks, self-harm behavior, and suicidal ideation. The constant obsession over the ex-partner being with someone else is causing a significant amount of emotional distress and impacting the person's mental health.","date this girl, started getting bored with relationship, mutually decided to break it off, regret not being there for her enough",0.3552769124507904
4016,"The person is expressing feelings of alienation and isolation, mentioning that they don't have anyone to talk to and feeling lost without advice. This sense of disconnection and lack of support is contributing to their feelings of anxiety and helplessness.","the voice in my head says that even if I tried, i wouldn't get anywhere, i wouldn't succeed",0.14479650557041168
4017,"The individual is experiencing significant stress related to their job and career. They mentioned feeling overwhelmed by financial difficulties, being unable to afford bills, having to beg for money, and feeling behind in life after moving across the country for a new start. The frustration with their current job, the lack of hours given to them, and the unsuccessful job applications in a competitive college town all point towards job and career-related stress as the dominant factor in their mental state.","can't even afford my bills, beg for money, had $5000 saved and its all gone, job is complete shit",0.45633408427238464
4018,"The person is experiencing loneliness and alienation, feeling completely isolated and disconnected from others. They express despair and hopelessness about their situation, indicating a strong sense of alienation and disconnection from the world around them.","loneliness is killing me inside, alone",0.5719265341758728
4019,"The individual is in a mental state of medication-related stress due to several factors. Firstly, they have been diagnosed with depression and have mentioned a failed suicide attempt. They express feeling overwhelmed by their family's expectations and financial burdens, as well as their own struggles with studying and recovery. Moreover, their family's belief in supernatural causes for mental health issues has led to a lack of appropriate therapy or treatment. This has contributed to a sense of hopelessness and helplessness, with concerns about the impact of their actions on their family's mental health. The individual's fear, anxiety, and perception of a grim reality further indicate a deep emotional turmoil exacerbated by the lack of proper mental health support and understanding from their family.","I'm being burden on family,  my parents this is happening because of some sort of supernatural evil thing, ey didn't took me to therapy ever again,  they also have to give dowry for my marriage and pay for my education",0.4536631107330322
4020,"The person seems to be experiencing alienation related stress. Despite not feeling sad or angry, they describe their life as dull and gray, and mention living on autopilot. The constant thoughts of suicide and dark fantasies suggest a disconnect from their own experiences and emotions, leading to a sense of detachment or alienation from their own life and surroundings.","physical pstd from overdosing, trauma, blood poll in the tub beneath me",0.18687310814857483
4021,"The person is feeling relationship-related stress because they mentioned losing friends, lack of communication with parents, and experiencing humiliation from someone in their past. These factors indicate a feeling of isolation and emotional distress related to their relationships with others.",lost my job,0.13858981430530548
4022,"The individual's description of feeling disconnected, confused about their emotions, and having concerns about whether their experiences are valid or not indicates a sense of alienation and internal conflict. They express a fear of being judged or misunderstood, as well as a lack of support from their immediate family, particularly their father. These feelings of isolation and self-doubt are common themes with alienation-related stress.","feel like i am mocking, i'm too much of a pussy",0.1387636661529541
4023,"The person mentions being on Prozac, which is a medication typically used to treat conditions such as depression and anxiety. The individual expresses feeling broken, making mistakes, and being unsure about their future, which are common signs of medication-related stress. Additionally, the mention of being on a 30-day performance review and the fear of getting fired further indicate stress related to the impact of their mental state on their career.","always been little listless and sad, even in elementary school, didn't really excel at sports, probably getting fired, im broken, how will i ever make money",0.11683245748281479
4024,"The person has been diagnosed with anxiety and depression, and is currently taking prescription medication (Lexapro) for their condition. They mentioned that the medication has been helping them by improving their energy levels, sleep, IBS symptoms, and migraine episodes. This indicates that medication has played a significant role in managing their mental health issues. Therefore, the individual seems to be under medication-related stress.","got out o 6 year relationship, close friend of mine decided he did not want to be friends with me anymore",0.04723744094371796
4025,"The person expresses feelings of loneliness, uselessness, and alienation, indicating a deep sense of disconnection from others. They mention having difficulty making friends and feeling isolated despite having acquaintances from high school. This sense of alienation from their peers and feeling unnoticed or unwanted by others suggests that the individual is experiencing alienation-related stress.","i feel so useless, i am not good at anything, I'm not intresting",0.3460569381713867
4026,"The person is going through a severe mental health crisis as they are experiencing intense depression, anxiety, and suicidal thoughts. They mentioned being on medication which is making them feel less like themselves, indicating a struggle with finding the right treatment. The focus on medication, doctor's appointments, and feeling like there is no guarantee of improvement suggests a deep sense of distress related to medication and treatment, categorizing their mental state as Medication related stressed.","I've shut off myself from my friends and family, feel less and less like me every day and the void inside me is just getting bigger and bigger ever day",0.36560946702957153
4027,"The person is articulating feelings of being overwhelmed, alone, and uncared for. They express thoughts of suicide, self-deprecation, and self-harm, indicating a sense of alienation and possibly a lack of support or connection with others. These feelings of loneliness and despair may stem from a perceived lack of understanding or concern from those around them, leading to a profound sense of isolation.","feels like theres a lump in my throat and a weight on my chest, I know i need to get this work done but thinking about it makes me anxious",0.16508743166923523
4028,"The person is exhibiting signs of extreme emotional distress and exhaustion due to the continuous strain of being in a long-term relationship with a partner who is suffering from depression. The feelings of being constantly berated, emotionally abused, and unappreciated by the partner have taken a toll on their mental state, leading to a sense of helplessness and despair. The mention of struggles with intimacy, feeling repulsed during sex, and being made to feel unworthy further indicates a deep relationship-related stress and strain.","wife has had varying levels of depression, cannot deal with her complaing anymore, cannot deal with her moods anymore, cannot deal with her bias anymore, cannot deal with being used as her verbal and emotional punching bagm cannot keep doing everything around the house, cannot keep dreading every time my phone rings, cannot keep coming home and wondering what sort of mood she's in, I cannot be told that I’m a shit father, I cannot be told how crap my family is",0.5120354890823364
4029,"The person is in a state of job and career-related stress. The individual expresses feelings of being unemployed, unsure about their career path, disappointment in their current academic pursuits, and struggling with the job search process. Additionally, the mention of feeling 'left out to pasture' and the financial concerns such as college loans and saving for a down payment indicate a significant level of stress related to their job situation and future prospects.","unemployed, struggling to find the motivation to do my work, immensely regret going to business school",0.45709773898124695
4030,"The person expresses feelings of alienation and loneliness, mentioning lack of friends to talk to, family members who are not available or caring, and people in their contacts who are self-absorbed. This sense of being isolated and unsupported contributes to their current state of feeling down and sad.","have no friends to talk, family doesnt care",0.4266017973423004
4031,"The person expresses feelings of extreme loneliness, alienation, and a sense of being left behind by others. This is indicated by statements such as 'I have no one to play with', 'I hate myself', 'I'm always left behind by everyone', and 'I just want to die'. The individual mentions spending long hours playing video games alone as their only hobby, indicating a lack of social connection. This sense of isolation and alienation is further reinforced by the inability to attend school due to anxiety and physical pain, leading to a cycle of negative emotions and self-perception.","alone, noone to play with, it's not a life to stay in my bedroom playing all days",0.4301247000694275
4032,"The person expresses feelings of alienation, loneliness, and lack of care from others. They also mention struggles with their mental health, suicidal thoughts, and dependency on various drugs to cope with their emotions. These reflections indicate a sense of disconnection from society and inner turmoil, which align with Alienation related stress.","retrograde amnesia, use drugs to cope, weed, adderall, lean, alcohol, xanax, ambien, lsd",0.2023199200630188
4033,"The person expresses feelings of alienation, lack of enjoyment, isolation from friends, and a desire to die. These feelings suggest a deep sense of disconnection from themselves and others, leading to a state of alienation.","dissociative personality disorder, disorder is getting worse",0.22955963015556335
4034,"The person is experiencing relationship-related stress. They are deeply attached to someone who they love but are faced with rejection and heartbreak. This unrequited love has led to feelings of humiliation and desperation, as well as thoughts of self-harm if the situation does not improve. The intensity of emotions and the focus on the romantic relationship suggest a significant impact on their mental state.","can't forget her, shes hates me, blocked me, never had relationship",0.27301913499832153
4035,"The individual is experiencing relationship-related stress. The references to the breakup with their girlfriend, feelings of loneliness, seeking comfort in physical intimacy, and desire for someone to love them all point towards a significant emotional struggle in the realm of relationships.","nobody seems to have any time for me, girlfriend split up, want someoen to love me",0.37848198413848877
4036,"The feelings of detachment, nostalgia, and longing for a past time could indicate a sense of alienation. The person seems to be struggling with a disconnect between their expectations and reality, which can lead to feelings of strangeness and unease.",felt like i hadn't played it in a long time even though i played yesterday,0.2871361970901489
4037,"The person is feeling alienated and disconnected from others, experiencing loneliness, lack of social support, and low self-esteem. They express feelings of not having friends, feeling hated by their parents, and not finding a reason to go on. The use of derogatory language towards themselves ('pussy') and fear of posting indicate a deep sense of alienation and disconnection from society.","don't have friends anymore, my parents hate the new me",0.23614773154258728
4038,"The person's description of being paralyzed with depression, struggling to do basic tasks, and experiencing memory issues aligns with symptoms commonly associated with medication-related stress. The mention of being in therapy and learning about the impact of depression on the brain further supports this categorization.","paralyzed, cannot do basic task for myself, first shower in a few days i was dreading it because it seems so hard now",0.3804914951324463
4039,"The person expresses feelings of being tired, sadness, guilt, selfishness, worthlessness, and negativity, but still shows concern for their loved ones and wishes for strength for those in need. This emotional complexity and the conflicted thoughts indicate that the person is in a good mental state, despite feeling overwhelmed and exhausted.","feel like i can succeed but i don't see the point if i still will not be happy,  rest of my life makes me not want to live through it, can't take it anymore, mo matter how much effort i put into happiness, i can't seem to get close without cheating",0.30838581919670105
4040,"The person who wrote the premise is experiencing extreme feelings of alienation, loneliness, and worthlessness. They express a deep sense of disconnection from themselves and others, feeling like they don't belong and are not understood. The feelings of not being good enough, trying to be someone else, and never finding happiness or satisfaction indicate a profound sense of alienation from their own identity and existence. Additionally, the thoughts of constant pain, wishing for death, and feeling undeserving of love or happiness further emphasize the theme of alienation and extreme emotional distress.","negeative thoughts about myself, I'll never be good enough, never happy with whoo i was as a person, uglynessm",0.47183358669281006
4041,The writer's mention of trying to kill themselves in school and connecting the idea of a caring girlfriend being equal to 100 friends suggests a deep sense of loneliness and a longing for emotional support. The writer's preference for finding a girlfriend online and the negative self-perception regarding social skills and physical appearance indicate relationship-related stress and a desire for connection and acceptance.,no one would be intresting in me with my social skills and the red in my neck,0.30029016733169556
4042,"The text indicates a deep sense of hopelessness, despair, and worthlessness, which are common emotions experienced in relationship-related stress. The mention of a strained relationship with the boyfriend and thoughts of self-harm in the context of potentially losing this relationship suggest a strong connection to relationship issues.","been 10+ years of telling myself the same thing over and over and over, nothing ever changes,  few good days here and there but it's mostly all shit",0.20115041732788086
4043,"The person expresses feelings of fear and reluctance to open up to others due to concerns about potential consequences, especially with the office and parents. They mention guilt, worry about worrying others, and feeling bad despite attempts to help, reflecting relationship-related stress and struggles in their interpersonal connections.","scared to open up, same deal with parents can't open up about suicide, ",0.37550508975982666
4044,"The language used in the premise indicates a sense of alienation and feeling misunderstood by others. The individual expresses a deep sense of isolation due to feeling judged and smeared for their mistakes, leading to feelings of being unapproachable and not being treated with understanding like others facing trials. This sense of alienation, emotional turmoil, and desire to feel normal suggests that the person is experiencing stress related to alienation from those around them.","isolated for coming across a certain way, people will judge, i'm a permanent smear of my mistakes,, people misunderstand thier emotional turmoil",0.4948565363883972
4045,The person expresses a lack of emotional connection with others and feels isolated and detached from their social relationships. This sense of alienation is causing them distress and making them question the purpose of living without the ability to feel emotions towards others.,"I never ever get that feeling when you like/care about someone, I don't care about my family friends acquaintances people no one",0.3588531017303467
4046,"The person expresses feelings of alienation and guilt towards their family, feeling like a burden and a source of pain for them. They mention wanting to disappear and feeling unable to change, which are common indicators of alienation-related stress.",my parents have gone through so much because of me,0.2457432895898819
4047,"The premise indicates a deep emotional pain caused by a past relationship. The person expresses feelings of hurt, sadness, and betrayal related to the past relationship. The mention of crying, feeling different after the breakup, and longing for the glow and love they once had with the person all point to relationship-related stress and emotional turmoil.","broke up, i went and saw you it hurt i cried myself to sleep i went to bed hurting and i woke up hurting",0.4395769238471985
4048,"The person is feeling alienated and struggling with the perception of being treated differently by others, which is causing distress regarding forming new friendships. This sense of alienation and concern about being judged can be an isolating experience, impacting one's mental state.","people see me as different, treat me in a more childish way",0.40318238735198975
4049,"The person is experiencing symptoms related to their nose surgery, including air flow issues, lack of sensation in the nostrils, and difficulty breathing, which are all linked to the medication or treatment received during the cosmetic rhinoplasty. The mention of being on sleeping pills further indicates a reliance on medication to cope with the symptoms, suggesting a state of stress related to medication usage and its consequences on their well-being.","open cosmetic rhinoplasty, air flow was dfferent in each nostril, slight pain in my left but i chalked it up to swelling, on sleeping pills, empty nose syndrome",0.6516115665435791
